Name,Category,Cost
iPhone 14 Pro,Smartphone,999
Samsung Galaxy S23 Ultra,Smartphone,1199
Google Pixel 7 Pro,Smartphone,899
MacBook Pro,Laptop,1299
Dell XPS 13,Laptop,999
Lenovo Yoga 9i,Laptop,1099
Sony Bravia XR A95K,Television,2799
LG C2 OLED evo,Television,1799
Samsung QN90B Neo QLED,Television,1499
Bose QuietComfort 45,Headphones,329
Sony WH-1000XM5,Headphones,399
Apple AirPods Max,Headphones,549
Nike Air Max 270,Sneakers,150
Adidas Ultraboost 22,Sneakers,190
New Balance 574,Sneakers,85
Levi's 501 Original Fit Jeans,Jeans,98
Wrangler Authentics Classic Straight Fit Jeans,Jeans,29
Patagonia Better Sweater Fleece Jacket,Jacket,159
North Face ThermoBall Eco Hoodie,Jacket,199
Arc'teryx Cerium LT Hoody,Jacket,379
Samsung Galaxy Watch 5,Smartwatch,279
Apple Watch Series 8,Smartwatch,399
Fitbit Sense 2,Smartwatch,299
Amazon Echo Dot (4th Gen),Smart Speaker,49
Google Nest Mini (2nd Gen),Smart Speaker,49
iPad Pro (12.9-inch M2),Tablet,1099
Samsung Galaxy Tab S8 Ultra,Tablet,1099
Microsoft Surface Pro 9,Tablet,999
Kindle Paperwhite,E-reader,139
Kobo Libra 2,E-reader,179
Sony Alpha a7 IV,Camera,2499
Canon EOS R6,Camera,2499
Nikon Z6 II,Camera,1999
GoPro HERO11 Black,Action Camera,399
DJI Osmo Action 3,Action Camera,329
Nintendo Switch OLED,Gaming Console,349
PlayStation 5,Gaming Console,499
Xbox Series X,Gaming Console,499
Meta Quest 2,VR Headset,299
Valve Index,VR Headset,999
Garmin Forerunner 955,Running Watch,599
Coros Apex 2 Pro,Running Watch,499
Polar Pacer Pro,Running Watch,299
Peloton Bike+,Exercise Bike,2495
NordicTrack Commercial S22i Studio Cycle,Exercise Bike,1899
Bowflex VeloCore Bike,Exercise Bike,1699
Theragun PRO,Massage Gun,599
Hyperice Hypervolt 2 Pro,Massage Gun,399
TimTam Power Massager Pro,Massage Gun,299
Dyson V15 Detect,Vacuum Cleaner,699
iRobot Roomba j7+,Robot Vacuum,799
Roborock S7 MaxV Ultra,Robot Vacuum,1399
Shark RV912S EZ Robot Vacuum,Robot Vacuum,479
Apple AirPods Pro (2nd generation),Headphones,249
Samsung Galaxy Buds2 Pro,Headphones,229
Google Pixel Buds Pro,Headphones,199
Garmin fenix 7 Sapphire Solar,Multisport GPS Watch,899
Suunto 9 Peak Pro,Multisport GPS Watch,699
Apple Watch Ultra,Multisport GPS Watch,799
Sonos Arc,Soundbar,899
Bose Smart Soundbar 900,Soundbar,899
Sony HT-A7000,Soundbar,1299
Samsung Odyssey Neo G9,Gaming Monitor,2499
LG UltraGear 38GN950,Gaming Monitor,1899
Acer Predator XB273K,Gaming Monitor,999
Herman Miller Aeron Chair,Office Chair,1895
Steelcase Gesture Chair,Office Chair,1279
Autonomous ErgoChair Pro,Office Chair,549
Vitamix 5200 Blender,Blender,449
Ninja BL770 Mega Kitchen System,Blender,199